BveTs Vehicle Performance Table 1.00,,,,,
#,fMax,,,,
127,10.4,2908.7,5711.3,16337.5,9095.7
128,10.2,2872.9,5622.4,16107,8967.4
129,10,2837.8,5535.6,15881.5,8841.8
130,9.8,2803.3,5450.7,15660.9,8719
131,9.6,2769.6,5367.8,15444.9,8598.8
132,9.4,2736.5,5286.8,15233.6,8481.1
133,9.3,2704.1,5207.6,15026.8,8366
134,9.1,2672.3,5130.2,14824.2,8253.2
135,8.9,2641.1,5054.4,14625.9,8142.8
136,8.8,2610.4,4980.4,14431.6,8034.6
137,8.6,2580.4,4907.9,14241.3,7928.7
138,8.4,2550.9,4837.1,14054.9,7824.9
139,8.3,2522,4767.7,13872.3,7723.2
140,8.1,2493.6,4699.9,13693.3,7623.6
141,8,2465.7,4633.4,13517.9,7525.9
142,7.9,2438.3,4568.4,13345.9,7430.2
143,7.7,2411.4,4504.7,13177.3,7336.3
144,7.6,2385,4442.4,13012,7244.3
145,7.5,2359.1,4381.3,12849.9,7154
146,7.3,2333.6,4321.5,12690.9,7065.5
147,7.2,2308.6,4262.9,12534.9,6978.7
148,7.1,2284,4205.5,12381.9,6893.5
149,7,2259.8,4149.2,12231.7,6809.9
150,6.9,2236.1,4094.1,12084.4,6727.8
