BveTs Vehicle Performance Table 1.00,,,,,
#,cMax,,,,
85,2.6,20.1,64.1,106.9,77.7
86,2.5,19.9,63.4,105.6,76.8
87,2.5,19.7,62.6,104.4,75.9
88,2.5,19.4,61.9,103.2,75
89,2.5,19.2,61.2,102.1,74.2
90,2.4,19,60.5,100.9,73.3
91,2.4,18.8,59.9,99.8,72.5
92,2.4,18.6,59.2,98.7,71.7
93,2.3,18.4,58.6,97.7,71
94,2.3,18.2,58,96.6,70.2
95,2.3,18,57.4,95.6,69.5
96,2.3,17.8,56.8,94.6,68.8
97,2.3,17.6,56.2,93.6,68
98,2.2,17.4,55.6,92.7,67.4
99,2.2,17.3,55,91.7,66.7
100,2.2,17.1,54.5,90.8,66
101,2.2,16.9,53.9,89.9,65.4
102,2.1,16.8,53.4,89.1,64.7
103,2.1,16.6,52.9,88.2,64.1
104,2.1,16.4,52.4,87.3,63.5
105,2.1,16.3,51.9,86.5,62.9
106,2.1,16.1,51.4,85.7,62.3
107,2,16,50.9,84.9,61.7
108,2,15.8,50.4,84.1,61.1
109,2,15.7,50,83.3,60.6
110,2,15.5,49.5,82.6,60
111,2,15.4,49.1,81.8,59.5
112,2,15.3,48.6,81.1,58.9
113,1.9,15.1,48.2,80.4,58.4
114,1.9,15,47.8,79.7,57.9
115,1.9,14.9,47.4,79,57.4
116,1.9,14.7,47,78.3,56.9
117,1.9,14.6,46.6,77.6,56.4
118,1.9,14.5,46.2,77,55.9
119,1.8,14.4,45.8,76.3,55.5
120,1.8,14.2,45.4,75.7,55
121,1.8,14.1,45,75.1,54.6
122,1.8,14,44.7,74.5,54.1
123,1.8,13.9,44.3,73.8,53.7
124,1.8,13.8,43.9,73.3,53.2
125,1.7,13.7,43.6,72.7,52.8
126,1.7,13.6,43.2,72.1,52.4
127,1.7,13.5,42.9,71.5,52
128,1.7,13.4,42.6,71,51.6
129,1.7,13.3,42.2,70.4,51.2
130,1.7,13.2,41.9,69.9,50.8
131,1.7,13.1,41.6,69.3,50.4
132,1.7,13,41.3,68.8,50
133,1.6,12.9,41,68.3,49.6
134,1.6,12.8,40.7,67.8,49.3
135,1.6,12.7,40.4,67.3,48.9
136,1.6,12.6,40.1,66.8,48.5
137,1.6,12.5,39.8,66.3,48.2
138,1.6,12.4,39.5,65.8,47.8
139,1.6,12.3,39.2,65.3,47.5
140,1.6,12.2,38.9,64.9,47.1
141,1.5,12.1,38.6,64.4,46.8
142,1.5,12,38.4,64,46.5
143,1.5,12,38.1,63.5,46.2
144,1.5,11.9,37.8,63.1,45.8
145,1.5,11.8,37.6,62.6,45.5
146,1.5,11.7,37.3,62.2,45.2
147,1.5,11.6,37.1,61.8,44.9
148,1.5,11.6,36.8,61.4,44.6
149,1.5,11.5,36.6,61,44.3
150,1.5,11.4,36.3,60.6,44
