BveTs Vehicle Performance Table 1.00,,,,,
#,f,,,,
65,54.9,8297.3,21584.8,46730.7,27148.2
66,52.8,8099.6,20935.7,46155.1,26813.8
67,50.9,7909.4,20315.4,45595.2,26488.5
68,49,7726.4,19722.3,45050.2,26171.9
69,47.3,7550.2,19154.8,44519.6,25863.6
70,45.6,7380.5,18611.4,44002.7,25563.3
71,44,7216.9,18090.8,43499,25270.7
72,42.5,7059.2,17591.8,43008,24985.5
73,41.1,6907,17113.1,42529.2,24555
74,39.7,6760.1,16653.8,42062.1,23957.1
75,38.4,6618.3,16212.6,41606.3,23381.6
76,37.1,6481.2,15788.8,41001.7,22827.2
77,35.9,6348.7,15381.3,40042.1,22293
78,34.8,6220.6,14989.5,39116.9,21777.9
79,33.7,6096.6,14612.4,38224.4,21281
80,32.7,5976.7,14249.4,37363.2,20801.5
81,31.7,5860.5,13899.7,36531.7,20338.6
82,30.7,5748,13562.8,35728.6,19891.5
83,29.8,5639,13237.9,34952.6,19459.5
84,28.9,5533.3,12924.6,34202.4,19041.8
85,28.1,5430.8,12622.3,33476.9,18637.9
86,27.3,5331.3,12330.4,32775,18247.1
87,26.5,5234.8,12048.6,32095.7,17868.9
88,25.7,5141.1,11776.3,31438,17502.7
89,25,5050.2,11513.2,30801,17148.1
90,24.3,4961.8,11258.8,30183.8,16804.5
91,23.7,4875.9,11012.7,29585.5,16471.4
92,23,4792.4,10774.6,29005.5,16148.5
93,22.4,4711.3,10544.1,28443,15835.3
94,21.8,4632.3,10321,27897.1,15531.4
95,21.3,4555.5,10104.8,27367.4,15236.5
96,20.7,4480.8,9895.4,26853.1,14950.2
97,20.2,4408,9692.4,26353.7,14672.1
98,19.7,4337.2,9495.6,25868.6,14402
99,19.2,4268.1,9304.8,25397.1,14139.5
100,18.7,4200.9,9119.6,24938.9,13884.4
101,18.2,4135.4,8939.9,24493.3,13636.4
102,17.8,4071.5,8765.5,24060,13395.1
103,17.4,4009.2,8596.1,23638.5,13160.5
104,16.9,3948.5,8431.6,23228.3,12932.1
105,16.5,3889.2,8271.7,22829.1,12709.8
106,16.2,3831.4,8116.4,22440.4,12493.5
107,15.8,3775,7965.4,22061.9,12282.7
108,15.4,3719.9,7818.6,21693.2,12077.5
109,15.1,3666.1,7675.8,21334,11877.5
110,14.7,3613.6,7536.9,20984,11682.6
111,14.4,3562.3,7401.7,20642.7,11492.6
112,14.1,3512.2,7270.1,20310,11307.4
113,13.8,3463.2,7142,19985.6,11126.7
114,13.5,3415.3,7017.2,19669.1,10950.6
115,13.2,3368.5,6895.7,19360.4,10778.7
116,12.9,3322.8,6777.3,19059,10610.9
117,12.6,3278,6662,18765,10447.2
118,12.4,3234.2,6549.6,18477.8,10287.3
119,12.1,3191.4,6439.9,18197.5,10131.2
120,11.8,3149.5,6333.1,17923.7,9978.8
121,11.6,3108.4,6228.8,17656.2,9829.9
122,11.4,3068.3,6127.1,17394.9,9684.4
123,11.1,3028.9,6027.9,17139.6,9542.3
124,10.9,2990.4,5931.1,16890,9403.3
125,10.7,2952.7,5836.5,16646,9267.5
126,10.5,2915.8,5744.3,16407.4,9134.6
127,10.3,2879.6,5654.2,16174.1,9004.7
128,10.1,2844.1,5566.2,15945.9,8877.7
129,9.9,2809.4,5480.2,15722.7,8753.4
130,9.7,2775.3,5396.2,15504.2,8631.8
131,9.5,2741.9,5314.1,15290.5,8512.8
132,9.3,2709.2,5233.9,15081.3,8396.3
133,9.2,2677,5155.5,14876.5,8282.3
134,9,2645.6,5078.9,14676,8170.7
135,8.8,2614.7,5003.9,14479.6,8061.4
136,8.7,2584.3,4930.6,14287.3,7954.3
137,8.5,2554.6,4858.9,14098.9,7849.4
138,8.4,2525.4,4788.7,13914.4,7746.7
139,8.2,2496.8,4720,13733.6,7646
140,8.1,2468.7,4652.9,13556.4,7547.3
141,7.9,2441,4587.1,13382.7,7450.7
142,7.8,2413.9,4522.7,13212.4,7355.9
143,7.6,2387.3,4459.7,13045.5,7262.9
144,7.5,2361.2,4398,12881.9,7171.8
145,7.4,2335.5,4337.5,12721.4,7082.5
146,7.3,2310.3,4278.3,12563.9,6994.8
147,7.1,2285.5,4220.3,12409.5,6908.9
148,7,2261.1,4163.4,12258,6824.5
149,6.9,2237.2,4107.7,12109.4,6741.8
150,6.8,2213.7,4053.2,11963.6,6660.6
